0,0,0,0
0.05,0,0,0
0.1,0,0,0
0.15,0,0,0
0.2,0,0,0
0.25,0,0,0
0.3,0,0,0
0.35,0,0,0
0.4,0,0,0
0.45,0,0,0
0.5,-26.704,-26.704,26.704
0.55,-26.704,-26.704,26.704
0.6,-53.408,-53.408,53.408
0.65,-53.408,-53.408,53.408
0.7,-80.112,-80.112,80.112
0.75,-80.112,-80.112,80.112
0.8,-106.82,-106.82,106.82
0.85,-106.82,-106.82,106.82
0.9,-133.52,-133.52,133.52
0.95,-133.52,-133.52,133.52
1,-160.22,-160.22,160.22
1.05,-160.22,-160.22,160.22
1.1,-186.93,-186.93,186.93
1.15,-186.93,-186.93,186.93
1.2,-213.63,-213.63,213.63
1.25,-213.63,-213.63,213.63
1.3,-240.33,-240.33,240.33
1.35,-240.33,-240.33,240.33
1.4,-267.04,-267.04,267.04
1.45,-267.04,-267.04,267.04
1.5,-293.74,-293.74,293.3
1.55,-293.74,-293.74,293.3
1.6,-320.45,-320.45,318.77
1.65,-320.45,-320.45,318.77
1.7,-347.15,-347.15,343.83
1.75,-347.15,-347.15,343.83
1.8,-373.85,-373.85,368.02
1.85,-373.85,-373.85,368.02
1.9,-400.56,-400.56,391.32
1.95,-400.56,-400.56,391.32
2,-427.26,-427.26,414.22
2.05,-427.26,-427.26,414.22
2.1,-453.97,-453.97,436.5
2.15,-453.97,-453.97,436.5
2.2,-480.67,-480.67,458.03
2.25,-480.67,-480.67,458.03
2.3,-507.37,-507.37,478.99
2.35,-507.37,-507.37,478.99
2.4,-534.08,-534.08,499.62
2.45,-534.08,-534.08,499.62
2.5,-560.78,-560.78,519.3
2.55,-560.78,-560.78,519.3
2.6,-587.48,-587.48,538
2.65,-587.48,-587.48,538
2.7,-614.19,-614.19,556.44
2.75,-614.19,-614.19,556.44
2.8,-640.89,-640.89,573.88
2.85,-640.89,-640.89,573.88
2.9,-667.6,-667.6,590.92
2.95,-667.6,-667.6,590.92
3,-694.3,-694.3,606.99
3.05,-694.3,-694.3,606.99
3.1,-721,-721,622.65
3.15,-721,-721,622.65
3.2,-747.71,-747.71,637.83
3.25,-747.71,-747.71,637.83
3.3,-774.41,-774.41,652.64
3.35,-774.41,-774.41,652.64
3.4,-801.12,-801.12,666.85
3.45,-801.12,-801.12,666.85
3.5,-827.82,-827.82,680.72
3.55,-827.82,-827.82,680.72
3.6,-854.52,-854.52,694.29
3.65,-854.52,-854.52,694.29
3.7,-881.23,-881.23,707.49
3.75,-881.23,-881.23,707.49
3.8,-907.93,-907.93,720.16
3.85,-907.93,-907.93,720.16
3.9,-934.63,-934.63,732.51
3.95,-934.63,-934.63,732.51
4,-961.34,-961.34,744.48
4.05,-961.34,-961.34,744.48
4.1,-988.04,-988.04,756.15
4.15,-988.04,-988.04,756.15
4.2,-1014.7,-1014.7,767.22
4.25,-1014.7,-1014.7,767.22
4.3,-1041.5,-1041.5,777.79
4.35,-1041.5,-1041.5,777.79
4.4,-1068.2,-1068.2,788.1
4.45,-1068.2,-1068.2,788.1
4.5,-1094.9,-1094.9,797.82
4.55,-1094.9,-1094.9,797.82
4.6,-1121.6,-1121.6,807.24
4.65,-1121.6,-1121.6,807.24
4.7,-1148.3,-1148.3,816.44
4.75,-1148.3,-1148.3,816.44
4.8,-1175,-1175,825.49
4.85,-1175,-1175,825.49
4.9,-1201.7,-1201.7,834.13
4.95,-1201.7,-1201.7,834.13
5,-1228.4,-1228.4,842.71
5.05,-1228.4,-1228.4,842.71
5.1,-1255.1,-1255.1,850.75
5.15,-1255.1,-1255.1,850.75
5.2,-1281.8,-1281.8,858.56
5.25,-1281.8,-1281.8,858.56
5.3,-1308.5,-1308.5,866.19
5.35,-1308.5,-1308.5,866.19
5.4,-1335.2,-1335.2,874.09
5.45,-1335.2,-1335.2,874.09
5.5,-1361.9,-1361.9,881.91
5.55,-1361.9,-1361.9,881.91
5.6,-1388.6,-1388.6,889.02
5.65,-1388.6,-1388.6,889.02
5.7,-1415.3,-1415.3,896.06
5.75,-1415.3,-1415.3,896.06
5.8,-1442,-1442,902.87
5.85,-1442,-1442,902.87
5.9,-1468.7,-1468.7,909.38
5.95,-1468.7,-1468.7,909.38
6,-1495.4,-1495.4,915.58
6.05,-1495.4,-1495.4,915.58
6.1,-1522.1,-1522.1,921.68
6.15,-1522.1,-1522.1,921.68
6.2,-1548.8,-1548.8,927.72
6.25,-1548.8,-1548.8,927.72
6.3,-1575.5,-1575.5,933.86
6.35,-1575.5,-1575.5,933.86
6.4,-1602.2,-1602.2,939.38
6.45,-1602.2,-1602.2,939.38
6.5,-1628.9,-1628.9,944.97
6.55,-1628.9,-1628.9,944.97
6.6,-1655.6,-1655.6,950.62
6.65,-1655.6,-1655.6,950.62
6.7,-1682.3,-1682.3,956.2
6.75,-1682.3,-1682.3,956.2
6.8,-1709,-1709,962.15
6.85,-1709,-1709,962.15
6.9,-1735.8,-1735.8,967.63
6.95,-1735.8,-1735.8,967.63
7,-1762.5,-1762.5,972.94
7.05,-1762.5,-1762.5,972.94
7.1,-1789.2,-1789.2,977.76
7.15,-1789.2,-1789.2,977.76
7.2,-1815.9,-1815.9,982.64
7.25,-1815.9,-1815.9,982.64
7.3,-1842.6,-1842.6,986.98
7.35,-1842.6,-1842.6,986.98
7.4,-1869.3,-1869.3,991.08
7.45,-1869.3,-1869.3,991.08
7.5,-1896,-1896,994.92
7.55,-1896,-1896,994.92
7.6,-1922.7,-1922.7,998.65
7.65,-1922.7,-1922.7,998.65
7.7,-1949.4,-1949.4,1002
7.75,-1949.4,-1949.4,1002
7.8,-1976.1,-1976.1,1005.2
7.85,-1976.1,-1976.1,1005.2
7.9,-2002.8,-2002.8,1008.3
7.95,-2002.8,-2002.8,1008.3
8,-2029.5,-2029.5,1011.2
8.05,-2029.5,-2029.5,1011.2
8.1,-2056.2,-2056.2,1013.7
8.15,-2056.2,-2056.2,1013.7
